¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Et oportet, ut praecipias Ventosatori, ne multum procedat in scarificatione: quoniam locus est denudatus carne, et sub eo sunt nerui et arteriae.	And you should instruct the cupper not to cut too deeply in scarification, for the area is exposed without much flesh, and underneath it are nerves and arteries.
Ventosa autem quae uentosatur super alchausos, confert hemorroidibus Ani, et ulceribus inferioribus.	The cup placed over alchausos benefits hemorrhoids of the anus and lower ulcers.
Et oportet, ut praecipias Ventosatori, ut sit uentosa magna, et ut sit ex aere: quoniam locus indiget suctione forti, et fortasse franguntur Ventosae subtiles: et scarificetur scarificatione magna.	And you should instruct the cupper to use a large cup made of metal, for the area requires strong suction, and delicate cups might break; and it should be deeply scarified.
Ventosae autem crurium minuunt diminutione manifesta: quoniam attrahunt sanguinem ex toto corpore, et conferunt doloribus antiquis in renibus, et matricibus, et uesica: prouocant menstrua, et conferunt bothor, et ademenul: et stant loco phlebotomiae duarum saphenarum, et alhorcobeni.	Cupping on the thighs brings significant reduction, for it draws blood from the whole body, and it helps with chronic pains in the kidneys, womb, and bladder; it stimulates menstruation, and helps with bothor and ademenul; and it serves as a substitute for the phlebotomy of the two saphenous veins and alhorcobeni.
Verumtamen debilitant corpus multum, et faciunt accidere syncopim in pluribus hominibus.	However, it weakens the body greatly and causes fainting in many people.
Et Ventosarum alhorcobeni iuuamentum est propinquum iuuamento Ventosarum duorum crurium.	And the benefit of the alhorcobeni cupping is similar to that of cupping on the two thighs.
Qualitas positionis Ventosarum est, ut ponas uentosam in primis uacuam, et sugas suctione temperata: et non prolonges positionem uentosarum, sed pone eas uelociter, et remoue eas uelociter, ut ueniant humores ad locum aduentu aequali: et non cesses iterare illud et continuare, donec uideas locum iam rubere et inflari, et appareat rubedo sanguinis: tunc ergo scarifica, et itera suctione paulatim.	The method of placing the cups is as follows: first place the cup empty, and draw with moderate suction; do not leave the cups in place for too long, but apply and remove them quickly, so that the humors come to the site with a balanced flow; and continue repeating this until you see the area becoming red and swollen, and the redness of blood appears; then scarify, and gradually repeat the suction.
Deinde considera in dispositione corporum.	Then consider the condition of the bodies.
Nam qui ex hominibus est tenerae carnis, rarorum pororum, oportet ut scarifices ipsum semel, non plus: ut non ulceretur locus.	For a person with tender flesh and sparse pores should be scarified only once, no more, so that the area does not ulcerate.
Et praecipe Ventosatori, ut amplificet scarificationem, et profundet parum: et temperet suctionem in facilitate, et uelocitate, et motu suaui.	And instruct the cupper to make a larger scarification and to cut slightly deeper, and to adjust the suction with ease, speed, and gentle movement.
Quod si in sanguine est grossitudo, tunc oportet, ut scarifices ipsum bis.	If the blood is thick, then scarify twice.
In uice quidem prima aperitur uia subtiliationi sanguinis, et aquositati eius: et in secunda quidem perscrutationi exquisitae extractionis sanguinis grossi.	In the first instance, the path is opened to refine and thin the blood; and in the second, to precisely extract the thicker blood.
Si uero sanguis est faeculentus ualde, tunc fiat scarificatio uice tertia: ut consequatur ultimum.	If the blood is very impure, then perform a third scarification to reach the final goal.
Et ad ultimum, quando uolumus extrahere sanguinem paulatim, uel parumper, sufficit nobis scarificatio una.	And finally, when we wish to extract blood gradually, or in a small amount, one scarification is sufficient.
Quod si uolumus extractionem sanguinis multi, scarificamus scarificatione plurima.	But if we want to extract a large amount of blood, we scarify several times.
Et si nos mensuramus, quod sanguis est grossus: tunc oportet, ut scarificetur scarificatione profunda: et terminus aequalis in scarificatione, est profunditas cutis.	And if we determine that the blood is thick, then it should be deeply scarified; the proper depth in scarification is the thickness of the skin.
¶ Quid sit illud quod oportet administrari ex oleis apud positionem Ventosarum, et quid caueat uentosandus.	What should be applied in oils at the time of placing the cups, and what the person to be cupped should avoid.
IN illo quidem cuius cutis est grossa, dura, fusca, et pori eius sunt stricti, oportet ut ungantur loca Ventosare cum oleis apertiuis, lenitiuis, resolutiuis: si est in tempore aestatis, sicut est oleum alkeiri, aut oleum uiolatum, aut oleum de amigdalis dulcibus, aut oleum de semine cucurbitae.	For one whose skin is thick, tough, dark, and whose pores are tight, it is necessary to anoint the places to be cupped with opening, softening, and resolving oils; if it is summertime, use oils such as alkeiri oil, violet oil, sweet almond oil, or gourd seed oil.
Et si est in tempore hyemis, tunc oleum narcissinum, aut oleum de lilio, aut oleum camomellinum, aut sarbatinum: et eis similia.	And if it is winter, then use daffodil oil, lily oil, chamomile oil, or sarbatinum oil, and the like.
Si uero superfluitas est grossa, frigida: tunc oleum sit amaracinum, aut oleum de balsamita aut oleum alben, aut oleum anetinum: et eis similia.	If, however, the excess is thick and cold, then use oil of marjoram, balm oil, alben oil, or dill oil, and the like.
Si uero uentosandus est amplorum pororum, tenerae carnis: tunc oportet, ut prohibeatur ab oleo, et oportet ut isti abluant loca Ventosarum earum post uentosationem cum aqua rosata, aut cum aqua frigida, aut cum aqua solatri, aut cum aqua cucurbitae, aut cum aqua portulacae: et similibus eis.	If, however, the person to be cupped has wide pores and tender flesh, then he should avoid oil, and instead wash the places to be cupped after cupping with rose water, cold water, nightshade water, gourd water, purslane water, and similar things.
Ille autem cuius sanguis est multae humiditatis, abluat uentosas cum aceto, aut cum aqua myrti, et sumach: et similibus eis.	The one whose blood is very moist should wash the cups with vinegar, myrtle water, and sumac, and similar things.
Cuius autem superfluitates sunt grossae, abluat uentosas suas cum uino antiquo, aut cum aqua samsuci, aut decoctione aneti, aut camomillae: et eis similibus.	But one whose excess is thick should wash his cups with aged wine, elderflower water, dill decoction, chamomile, and the like.
Et oportet, ut caueatur uentosatio in balneo, aut in uestigio balnei, imo oportet, ut administretur post exitum ex balneo per horam, aut per horas duas.	And cupping should be avoided in the bath, or immediately after the bath; rather, it should be done an hour or two after leaving the bath.
Et non oportet, ut dormiat aliquis post uentosationem.	And one should not sleep after cupping.
¶ Quid est quo oportet ut regatur Ventosandus, aut Phlebotomatus ante uentosationem.	What should be observed for the person to be cupped or phlebotomized before cupping.
ET post eam oportet, ut consideres in primis: tunc si Ventosatus, aut Phlebotomatus sit cholericus, et uincunt super sanguinem eius acuitas et inflammatio: tunc oportet, ut accipiat infrigidantia, sicut granatum muzum: et etiam endiuiam cum aceto et lactuca, et secaniabin, et iuleb: et eis similia.	And afterward, it is necessary to consider first: if the cupped or phlebotomized person is choleric and sharpness and inflammation prevail in his blood, then he should take cooling agents, such as pomegranate muzum, as well as endive with vinegar, lettuce, sekaniabin, julep, and the like.
Et pone cibaria eius pullos, et carnes ouium sekebiget, et cibos conditos cum agresta: et eis similia.	And his food should be chicken, lamb meat prepared sekebiget-style, and foods seasoned with verjuice, and the like.
Et cuius complexio est frigida, oportet ut sumat in potu syrupum de melle, aut de almiua, aut alsecaniabin de seminibus factum: et sumat uinum odoriferum medium, quod est inter uetus et nouum: et praecipiatur, ut utatur paucitate cibi.	And for one whose temperament is cold, he should drink syrup of honey, almiua, or alsecaniabin made from seeds; he should drink fragrant wine of medium age, between old and new, and be instructed to consume food sparingly.
Et pone cibum eius pullos, et canebir: et passeres, id est, paruas aues: et pullos columborum issiadebet.	And his food should be chicken, partridge, sparrows, that is, small birds, and young pigeons prepared issiadebet-style.
Et oportet, ut potus die uentosationis et phlebotomiae plus sit quam cibus: et oportet, ut detur in potu in quibusdam hominibus in horis tyriaca alfaroch, aut medicamen de musco, id est, muscata, aut alesselithe ante uentosationem: et ante phlebotomiam, aut post: ut confortentur membra principalia, et subtilietur sanguis.	On the day of cupping or phlebotomy, drink should be more than food; and it is necessary that some people take tyriaca alfaroch in drink, or a medicine of musk, that is, nutmeg, or alesselithe before cupping and before or after phlebotomy, to strengthen the main organs and refine the blood.
