Praefatio.	This is an introduction to a medieval Latin textbook on
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	Since if the head of a strong-natured individual is ill and does not exhibit weakness or has been subject to cold exposure, then it may be treated with another caesura method under this limited one: that we've discussed in detail before. This should take into account their constitutional strength which might influence the healing process differently from a debilitated individual who is often more sensitive and whose recovery could vary accordingly based on numerous factors such as age, overall health condition, environmental elements like cold or heat
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Thereafter it is to perform a caesura on the patient's own head in relation to their previous treatment with only minimal disturbance of skin and removal of bone as we have recounted previously: ensuring not to perforate or damage the protective covering, which serves as an essential part of healing. This approach should be meticulous, recognizing that every individual's physiological makeup can respond distinctively due to various factors including but not limited to age and general
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	Following the patient's specific case with a singular caesura on their head at its base within an assigned region identified as 'waste': placing it where sweat is applied to promote healing while maintaining untouched bone structure: then applying olive oil and avoiding piercing through any part of this. This targeted treatment must be carefully executed, considering the unique characteristics presented by each patient's body which might react differently due to specific factors such as their overall health status or environmental exposures that could affect recovery times and outcomes. In adherence with historical methods believed effective for treating
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	Because the unwell individual is experiencing such severe pain due to this circumstance and as an ongoing consequence of all caesura treatments attempted thus far for their head's affliction: it necessitates a continuous effort through varied methods, emphasizing restorative practices that align with ancient wisdom. This perseverance in treatment is crucial, bearing the understanding that recovery from such chronic
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say this incision at its proper place: and it is necessary that whatever the instrument for burning (cauterization) of ears' horns and a more subtle one for the middle of the head shall be provided.
Et haec est forma eius.	And this is its form/shape.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	Concerning the method of burning (cauterizing) into a hemicranium with such potent medicine or even with iron.
Caput IIII.	Head IV. This likely refers to a section in an organizer
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain occurs on the head and is accompanied by a bitter taste, or extends until it reaches to the eye, then with healing medicine of purification for the whole head—as I mentioned in Part III concerning remedies against illnesses—and administerin additional treatments as well: these two modes are burning cauterization either combined with acute-burning medicines or with iron. At that time, burn cauterization is appropriate following these two methods; it's not sufficient to apply the whole method without differentiating between them based on pain location and symptoms of poison caused by excessive heat treatment as I indicated in Part III concerning treatments for illnesses.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	Burn cauterization with the sharp medicine is when you receive one tooth of a pair and cut it out along with its root from two sides. This procedure helps in removing foreign bodies causing harm, which I have mentioned before relating to teeth's removal for their own good if they are not healthy or too large as discussed previously concerning dental care treatments involving the extraction of problematic teeth.
