Praefatio.	Introduction (In Medieval Latin texts such as this one
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For it weakens the head due to its natural salt solution; as we witnessed with other members: and especially when the head is already sick: and Cauterization's first aid is indeed healthier for me, and I use it therefore for their benefit.
¶ De modo cauterizandi capitis in dolore totius capitis.	By way of performing Cauterization on the head throughout all pain of the head.
Caput III.	Chapter Three.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	Whenever throughout the entire head an enduring pain occurs: and this continues to afflict it with sickness, and resorts hitherto therein in desperation of relief by various methods such as fomentations, purgings, Cauterizations, oils for soothing, or emollients.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if after performing Cauterization once as described in our narrative and no further benefits are derived from that one treatment only: then reflect upon this thought.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of an afflicted patient has a strong natural constitution that is not weak or sick and experiences chilling sensations due to cold winds, then with Cauterization apply it no more under any circumstances than another form of treatment would be applied in this case.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Thereafter, apply Cauterization to the entire outer edge of his own head' extraducting no through any skin breach and extracting as much fat from bone as we have described in our account.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And apply Cauterization to one place at the back of his own head; that spot which is called "wax" and it's a location where pressure is applied without breaking through the skin or removing bone: as described herein, anoint this with your oil but do not remove any bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the patient suffers due to this pain vehemently and it endures for various treatments of Cauterization applied throughout all ills affecting his head: as previously mentioned in our discussion.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say this is the Cautery in its own place: and it must be what kind of a cautery to burn the ears; more refined than that for burning the head underneath.
Et haec est forma eius.	This is how it looks like this one.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the way of cauterizing inside the head, both with heated medicine and iron.
Caput IIII.	Head IV.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens that a pain occurs inside the head, hot as well as cold remedies are used; and when such pains extend to either eye sockets or temples they cease in turn with drugs meant for cleaningseating heads; I have also described elsewhere certain other treatments which should be administered according to my division of diseases. Thus, cauterization at that time is done by two ways: one way using acute hot combustion medicine or another like a heated iron instrument. Not all cases need this treatment in full; then it depends on the type and severity of pain whether such intervention will be necessary or not.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	And when using a hot burning cauterizing instrument with medicine as well it is like taking the tooth of an enemy and tearing off its horns; then you have him remove both ends from his head by cutting through two sides simultaneously. This metaphorically illustrates how aggressively one must act upon diseases within, using tools that apply similar severity in treatment as a warrior does against their foes.
