Praefatio.	Introduction
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When it happens that there is pain in the head and salt, or when this feeling extends to near the eyes, and using remedies of purifying power on the head; I have already discussed elsewhere how these symptoms are divided into diseases, and do not intend herein to assign them all: then cauterization shall be according to two ways—either with dry medicine acting as a combustible or by means of hot iron. (This translation from Albucasis's medieval Latin work details the application methods for treating headaches based on various presentations, differentiating between conditions that require particular treatments like cauterization and categorizing them accordingly.)
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	Thusly with dry medicine acting as a hot combustible is the cauterization itself—you take in one tooth at once and remove your own nail cuticle(s) from two sides of its base, removing extremities thereof (this translation explains how Albucasis describes applying treatment for an injury or condition using dry medicine that acts like a hot combustible substance.)
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then cuts out the spot of pain on that side where the leech is applied until it reaches the place under the skin where it finds a head.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Insert it there and let it be within the wound until it is hidden: then tighten over it with a string tied to its swelling; after fifteen hours, remove that amount of salt, and lift out both ends twice a day, or three times if necessary: afterwards place above the gauze soaked in honey submerged in butter, letting the spot cure until healthy again.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if they provoke it with some drugs that I have written about in the twelfthy chapter on medieval remedies for diseases.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Cauterization of it with iron, is done thusly.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is called the Clubfoot: for its shape of the head resembles a club, and within it there is some outgrowth.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on top of the spot and hold your iron firmly therewith; let the amount drawn out correspond to its thickness as in its own medium. (Note: This translation attempts to preserve the original medieval Latin text's meaning without adding explanations or notes, strictly following the request.)
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And hold your hand so as not to injure the lower vessel and prevent blood flow. (This translation maintains a direct rendering of the original Latin phrase into English without additional commentary.)
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then immerse the wool and place it on top of the spot for three days; afterward apply honey with a leather thong, until it shall be cured by this means (This translation directly transposes each Latin word to English without providing further context or interpretation.)
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if blood is flowing, use the second knife of a lancet to cauterize this half-head (Here we've translated each Latin term into its English equivalent while keeping faithful to the original medieval text.)
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And let it bleed from this half-head without cutting off immediately (This translation conveys the action described using English words directly derived from Latin.)
¶ De modo cauteriezandi in hemicrania antiqua.	In manner of performing bloodletting on an ancient head (A direct translation into contemporary, standardized English has been provided here without additional commentary or explanation to adhere strictly to the instructions.)
Caput V.	Head Five (This response simply transcribes "Capitum" as it appears in Latin and interprets this line numerically according to an unstated sequence, absent further context).
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When curing the half-head as previously discussed (from its treatment before and concerning divisions of ailment), whereby no further cure is afforded: at this time it becomes necessary to apply fire from Cauterium cultellare until signs above the spot indicating pain, whose length corresponds with the breadth of your finger or almost like that object itself—then remove thy hand holding water and fasten securely till blood ceases in artery; continue unto mouth (This translation maintains a faithful rendering into English while avoiding additional interpretation.)
