Praefatio.	 Praiseworthy introduction
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	 For to him it is fear and especially if he did not know what was done there and was not diligent or knowledgeable; and let the operation be given with him first.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	 And I will describe how blood flow occurs from the artery according to its own mode and at that place of this book.
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	 If you see from Cautery that it is not enough to him for this, and if you see the body soft for Cautery on the middle of the head as we described, let healing occur until he is healed.
Et si uis, administra Cauterium, quod diximus in capitulo extractionis arteriae cum Cauterio habente duos cultellos.	 "If one has a Cauterion (a type of probe used for cautery) and is administering it to extract an artery with two hooks.
Est enim cauterizatio melior hac et magis conferens.	 The cauterization here mentioned is better than the previous kind, as more effective.
¶ De modo cauterizandi in dolore Aurium.	 By means of cautery for the pain treatment.
Caput VI.	 Head sixth
Quando accidit in Aure dolor a frigore, et curatur cum solutiuis, et reliqua curatione quam diximus in diuisione, et non remouetur dolor, tunc igni Cauterium: et est illud quod nominatur Punctum, cuius forma est haec.	 When there is pain due to frost and it stops with cold solution, the rest of the treatment as mentioned earlier, no more pain remains, then a fire Cauterion must be applied: this is called Point whose shape is like that one.
Deinde puncta cum eo post eius ignitionem in circumitu auris totius, sicut reuoluitur: aut in circumitu utriusque, si simul dolor est in utrisque.	 Afterwards the point being applied to it after its fire is extinguished all around the ear's whole circumference like before: or at both sides if simultaneously there is pain on both sides.
Et elonga te cum Cauterio a radice auris parumper, postquam signaueris loca cum encaustro: et sit cauterii quantitas decem punctorum in omni aure, et quasi illa.	 Afterwards you apply the Cauterion deeper at the root of the ear after using the wax: and there are ten points for cautery on all around the ear, almost as many.
Deinde cura loca, donec sanentur.	 Afterwards healing takes place until it is healed.
¶ De modo cauterizandi in Tortura.	 By means of cautery for torture.
Caput VII.	 Head seventh
Tortura quae curatur cum cauterizatione, non est nisi ex speciebus, quae accidunt ex phlegmate, secundum quod diximus in diuisionibus aegritudinum.	 Torture which is treated with cautery, unless it happens due to the types mentioned earlier from phlegm, as per what we said in the divisions of sweat.
Et deuita cauterizationem speciei, quae accidit ex exiccatione, et spasmo nerui.	 With withdrawn cautery, which was caused by a spasm and shivering in the nerve?
Quando curas hanc speciem torturae cum hyeris, et caputpurgiis, et gargarismis, et non confert curatio tua, tunc oportet ut cauterizes infirmum tribus Cauteriis: uno apud radicem auris, et secundo parum inferius a timpore suo, et tertio apud coniunctionem duorum labiorum.	 When you cure this kind of torture by the ear lobe, and gurgling in the throat, and if your treatment does not succeed: then it is necessary to apply Cauterion with three hooks at once: one at the root of the ear, another just below that, thirdly at the junction of two lobes.
Et pone Cauterium tuum ex contrario partis infirmae.	 Then apply your Cauterion from the opposite side weakly
Quoniam mollificatio non accidit, nisi in parte quae apparet sana.	 If no relief is obtained unless it appears healthy
Et forma cauterizationis est, ut cauterizes ipsum Cauterio in directo extremitatis auris superioris sub cornu capitis parum: et alio in timpore: cuius longitudo sit secundum longitudinem pollicis.	 The form of Cautery is as follows: Cauterio should be applied to the upper part of the ear's extreme, under the earlobe, and another one at the time of the ear lobes.
Et depone manum tuam cum cauterio, donec comburatur quantitas medietatis spissitudinis cutis.	 Lay your hand gently upon it until it is burned away entirely
Et haec est forma Cauterii, et est species ex cultellari, cuius forma praemissa est: uerumtamen non est subtilior ea parum, sicut uides: et oportet ut sit cultellus in eo superfluae grossitudinis parum.	 This is the shape of cautery and its species derived from an instrument with a raised edge. However, it is not as subtle as you might expect; therefore, there should be excessive caution when applying the cautery to avoid burns on sensitive areas.
Deinde cura loca, cum eo quod praecessit: donec sanetur.	 Afterwards, apply a cold compress over it until it has cooled off.
¶ De modo cauterizandi in Apoplexia antiqua.	 The cautery procedure used in ancient Apoplexy
Caput VIII.	 Head 8
QUando antiquatur Apoplexia, et curas eam cum eo quod diximus, et non confert medicatio tua, et infirmus non habet febrem, tunc cauteriza eum quatuor cauteriis super omne cornu capitis sui, et cauterio in medio capitis, sicut diximus, et cauterio in occipitio capitis, secundum quod praecessit: et modus cauterii sit secundum quod praecessit.	 When Apoplexy is about to occur and the cure is applied with what we have spoken of, your treatment shall not come into play; furthermore, if he does not have a fever, then you must cauterize his head at four points on top of it, in the middle of the head as well, just like what was said before, and in the eye socket where necessary. The procedure for cautery should be done according to that which preceded.
Etiam cauterizatur cum Cauterio super os stomachi: et est magis ultimum.	 Cauterization is done with the Cautery on top of the mouth; this is final.
Deinde curetur, cum eo quod praecessit.	 Afterwards, when it precedes (the cautery).
¶ De modo cauterizandi in Obliuione.	 The cautery procedure used for Oculos (eyes).
Caput IX.	 Head 9
Oportet ut in potu dentur in primis infirmo hyerae magnae, et pillulae mundificantes cerebrum.	 It is recommended that a large hole be made through the top of his head first and then remove the covering from the brain.
Deinde rade caput infirmi totum, et pone super occipitium eius emplastrum de synapi descriptum in tractatu emplastrorum: et pone ipsum aliquotiens.	 Afterwards, remove completely the skull of him with an instrument as described in the treatise on plasterers; place it at his side.
Ipsum namque est modus Cauterii: et fac illud secundum ordinem eundem, quem dixi illic.	 This is the procedure for cautery; do this according to what has been said there before.
Si ergo sanatur per illud, bonum est.	 If so, it is a good thing.
Si non: tunc fac ei cauteria tria in posteriori parte capitis sui, quae sint descendentia a superiori parte capitis usque ad inferiorem partem oculi: et pone inter omne cauterium grossitudinem digiti.	 If not, then make three cuts on the back of his head, descending from the top to the bottom of the eye socket; and put between every cautery some excess thickness for the fingers.
