Praefatio.	Praefatio.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I come with a reminder of the regime of the flow of blood from an artery according to its own way, and in its place in this book.
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	That if you see from the disease that this cauterization is not sufficient for him, and you see the body bearing the cauterization in the middle of the head, as we have told, care about the sore, until it heals.
Et si uis, administra Cauterium, quod diximus in capitulo extractionis arteriae cum Cauterio habente duos cultellos.	And if you see, administer cautery, which we have said in the chapter on arteriotomy with a cautery having two scalpels.
Est enim cauterizatio melior hac et magis conferens.	For cauterization is better and more effective in this way.
¶ De modo cauterizandi in dolore Aurium.	§ On the method of cauterizing in ear pain.
Caput VI.	Chapter VI.
Quando accidit in Aure dolor a frigore, et curatur cum solutiuis, et reliqua curatione quam diximus in diuisione, et non remouetur dolor, tunc igni Cauterium: et est illud quod nominatur Punctum, cuius forma est haec.	When it happens that there is pain in the ear from cold, and cauterize with water, and the rest of the cure as we have said in the division, and the pain does not disappear, then fire Cautery: and that is what is called a point, whose form is this.
Deinde puncta cum eo post eius ignitionem in circumitu auris totius, sicut reuoluitur: aut in circumitu utriusque, si simul dolor est in utrisque.	Then the points with it after its ignition around the whole ear, as it swells: or in the circumference of each, if at the same time pain is in both.
Et elonga te cum Cauterio a radice auris parumper, postquam signaueris loca cum encaustro: et sit cauterii quantitas decem punctorum in omni aure, et quasi illa.	And stretch it with the cautery from the root of the ear slightly, after you have marked the places with wax: and let the quantity of cauterium be ten points all over the ear, and almost the same.
Deinde cura loca, donec sanentur.	Then care for the place, until they are healed.
¶ De modo cauterizandi in Tortura.	§ On the method of cauterizing in torture.
Caput VII.	Chapter VII.In cumque cauterium ignis fac
Tortura quae curatur cum cauterizatione, non est nisi ex speciebus, quae accidunt ex phlegmate, secundum quod diximus in diuisionibus aegritudinum.	For the torture which is cured with cauterization, is not except for the kinds that happen from phlegm, according to what we have said in divisions of diseases.
Et deuita cauterizationem speciei, quae accidit ex exiccatione, et spasmo nerui.	And prolonged cauterization of a species that happens from drying up, and the spasm of a nerve.
Quando curas hanc speciem torturae cum hyeris, et caputpurgiis, et gargarismis, et non confert curatio tua, tunc oportet ut cauterizes infirmum tribus Cauteriis: uno apud radicem auris, et secundo parum inferius a timpore suo, et tertio apud coniunctionem duorum labiorum.	When you treat this species of torture with hyoscyamus, and caputpurums, and gargarisms, and your cure does not bring about a result, then you should cauterize the sick three times: one near the root of the ear, and a second slightly below its place, and a third at the meeting of the two lips.
Et pone Cauterium tuum ex contrario partis infirmae.	And put your cautery on the opposite side of the weak part.
Quoniam mollificatio non accidit, nisi in parte quae apparet sana.	For softening does not happen except in the part that appears to be healthy.
Et forma cauterizationis est, ut cauterizes ipsum Cauterio in directo extremitatis auris superioris sub cornu capitis parum: et alio in timpore: cuius longitudo sit secundum longitudinem pollicis.	And the form of cauterizing is so that it cauterizes itself with the cautery in the direct extremity of the upper ear near the hairline slightly: and another in the time: whose length is according to the length of the finger.
Et depone manum tuam cum cauterio, donec comburatur quantitas medietatis spissitudinis cutis.	And lay your hand with the cautery, until the amount of half the thickness of the skin is burned.
Et haec est forma Cauterii, et est species ex cultellari, cuius forma praemissa est: uerumtamen non est subtilior ea parum, sicut uides: et oportet ut sit cultellus in eo superfluae grossitudinis parum.	And this is the form of the cautery; and it has a kind of blade whose form is as follows: indeed, it is not too fine, as you see; and it is necessary that the blade should be somewhat thin, because of its thickness.
Deinde cura loca, cum eo quod praecessit: donec sanetur.	Then take care of the wound with this; until such time as it heals: unless you want to suffer a great deal of pain and loss.
¶ De modo cauterizandi in Apoplexia antiqua.	(On the way of cauterizing in ancient apoplexia.)
Caput VIII.	CHAPTER VIII.
QUando antiquatur Apoplexia, et curas eam cum eo quod diximus, et non confert medicatio tua, et infirmus non habet febrem, tunc cauteriza eum quatuor cauteriis super omne cornu capitis sui, et cauterio in medio capitis, sicut diximus, et cauterio in occipitio capitis, secundum quod praecessit: et modus cauterii sit secundum quod praecessit.	When apoplexia is old, and you take care of it with that which I have said, and your medicine does not avail, and the patient has no fever, then cauterize him with four cauteries on every corner of his head, and with one in the middle of his head, as we have said, and with one at the back of his head, according to what preceded: and let the mode of the cautery be according to what preceded.
Etiam cauterizatur cum Cauterio super os stomachi: et est magis ultimum.	Also cauterize with the cautery on the mouth of the stomach: and it is more the last.
Deinde curetur, cum eo quod praecessit.	Then take care of it with that which preceded.
¶ De modo cauterizandi in Obliuione.	(On the way of cauterizing in obliteration.)
Caput IX.	CHAPTER IX.
Oportet ut in potu dentur in primis infirmo hyerae magnae, et pillulae mundificantes cerebrum.	It is necessary that they be given to the first patient with great fever, and pills that clean the brain.
Deinde rade caput infirmi totum, et pone super occipitium eius emplastrum de synapi descriptum in tractatu emplastrorum: et pone ipsum aliquotiens.	Then cut off his head entirely, and put on his scalp an ointment described in the book of ointments: and apply it sometimes.
Ipsum namque est modus Cauterii: et fac illud secundum ordinem eundem, quem dixi illic.	This is the way to make a poultice: and do it according to the order which I have mentioned there.
Si ergo sanatur per illud, bonum est.	If then he recovers by means of it, it is good.
Si non: tunc fac ei cauteria tria in posteriori parte capitis sui, quae sint descendentia a superiori parte capitis usque ad inferiorem partem oculi: et pone inter omne cauterium grossitudinem digiti.	If not: then do to him three cauterizations in the posterior part of his head, which are descending from the upper part of the head down to the lower part of the eye: and put between every cauterization a thickness of finger.
Deinde cura Cauterium, cum eo quod praecessit.	Then take care of the poultice, with what preceded it.
Si autem uis additionem, et infirmus est tolerans illud: tunc fac ei Cauterium in medio.	If however you want to add something, and the sick man endures that: then do to him a cauterization in the middle.
Quod si uis additionem: tunc cauteriza ipsum super duo cornua.	That if you want to add something: then cauterize him over two horns.
Deinde cura ipsum, donec sanetur: sitque Cauterium oliuare secundum formam, quae praemissa est.	Then take care of the head until it is healed: and let the poultice be oiled according to the form which I have mentioned above.
