Praefatio.	Premise.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And do not cure from an incision in this headache, not an old one on his own.
¶ De modo cauteriezandi in hemicrania antiqua.	As for the mode of cauterizing in a headache that is old.
Caput V.	The head.
Quando curas hemicraniam, cum eo quod diximus ex curatione praecedente, et quod diximus in diuisionibus aegritudinum, et non confert curatio: et uides ex aegritudine, quod non sufficit ei quod diximus ex cauterio primo cum medicina, aut cum cauterio cum igne, tunc oportet ut ignias Cauterium cultellare, donec albificetur postquam signas super locum doloris cum linea, cuius longitudo sit medietas digiti, aut quasi illud: et depone manum tuam uice una, et stringe eam donec incidas arteriam, et peruenias usque ad os.	When you cure a headache, when with this that we said before of curing, and what we said in the divisions of sicknesses, and there is no cura: and you shall see from the sickness, that it is not sufficient to him that we said of cauterization first with medicine, or with cauterization with fire, then you should turn the fires of cauterization little by little, until it whiteneth after the signs on the place of the pain with a line, whose length is half a finger, or almost so: and put your hand away with force one way, and squeeze it till you hit the artery, and go on to the mouth.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	However you should cure from the continuing of the jaw, which moves when it grinds, lest it burn on the side, or the nerve that moves it, from where comes a spasm.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And this is on the guard and caution against the flow of blood from the artery, which has been cut off.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For fear of the cutting off of that artery, and more so to him who knows not what he does, and is not studious, nor experienced: and dismisses the operation with it at first.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I come to talk about the treatment of an injury from a blood vessel, according to its method, and in the place of this book.
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	That if you see from sickness that it is not sufficient to this Cautery, and you see the body bearing the cautery in the middle of the head, as we have said, care for the wound, until it heals.
Et si uis, administra Cauterium, quod diximus in capitulo extractionis arteriae cum Cauterio habente duos cultellos.	And if you see, administer the cautery, which we have said in the chapter of cutting the artery with a cautery having two scissors.
Est enim cauterizatio melior hac et magis conferens.	For the cauterization is better and gives more help in this way.
¶ De modo cauterizandi in dolore Aurium.	Regarding the method of cauterizing the ears.
Caput VI.	Chapter VI.
Quando accidit in Aure dolor a frigore, et curatur cum solutiuis, et reliqua curatione quam diximus in diuisione, et non remouetur dolor, tunc igni Cauterium: et est illud quod nominatur Punctum, cuius forma est haec.	When a pain happens in the ear from cold, and is healed with solutiuns, and the remaining cure as we have said in the division, and the pain does not remove, then to the fire Cautery: and this is what is called a Puncture, of which the shape is this.
Deinde puncta cum eo post eius ignitionem in circumitu auris totius, sicut reuoluitur: aut in circumitu utriusque, si simul dolor est in utrisque.	Then the punctures with it after its igniting around the whole ear, as it is relieved: or in the circumference of either, if at the same time a pain is in both.
Et elonga te cum Cauterio a radice auris parumper, postquam signaueris loca cum encaustro: et sit cauterii quantitas decem punctorum in omni aure, et quasi illa.	And lengthen it with the cautery from the root of the ear slightly, after you have marked the places with encaustic: and let the amount of the cautery be ten points all over the ear, and almost that same amount.
Deinde cura loca, donec sanentur.	Then care for the place, until they are healed.
¶ De modo cauterizandi in Tortura.	Regarding the method of cauterizing in torture.
Caput VII.	Chapter VII.
Tortura quae curatur cum cauterizatione, non est nisi ex speciebus, quae accidunt ex phlegmate, secundum quod diximus in diuisionibus aegritudinum.	Torture which is healed with cauterization, is not except from the species which happen from phlegm, according to what we have said in the divisions of illnesses.
Et deuita cauterizationem speciei, quae accidit ex exiccatione, et spasmo nerui.	And cauterized the species which happened from drying and muscle spasm.
Quando curas hanc speciem torturae cum hyeris, et caputpurgiis, et gargarismis, et non confert curatio tua, tunc oportet ut cauterizes infirmum tribus Cauteriis: uno apud radicem auris, et secundo parum inferius a timpore suo, et tertio apud coniunctionem duorum labiorum.	When you treat this species of torture with hyoscyamus and calamine and gargles and your treatment does not bring about a cure, then you should cauterize the sick three times: one at the root of the ear, and second slightly below its edge, and third at the junction of the two lips.
Et pone Cauterium tuum ex contrario partis infirmae.	And place your cautery on the opposite side of the weak part.
Quoniam mollificatio non accidit, nisi in parte quae apparet sana.	For the softening does not take place unless in the part that seems healthy.
Et forma cauterizationis est, ut cauterizes ipsum Cauterio in directo extremitatis auris superioris sub cornu capitis parum: et alio in timpore: cuius longitudo sit secundum longitudinem pollicis.	And the form of cauterization is so that you cauterize yourself with the Cautery in the direct extremity of the upper ear under the corner of the head a little bit: and another in time: whose length is according to the length of the thumb.
Et depone manum tuam cum cauterio, donec comburatur quantitas medietatis spissitudinis cutis.	And place your hand with the cautery, until half the thickness of the skin is burned.
Et haec est forma Cauterii, et est species ex cultellari, cuius forma praemissa est: uerumtamen non est subtilior ea parum, sicut uides: et oportet ut sit cultellus in eo superfluae grossitudinis parum.	And this is the form of the cautery, and its species is from a chisel, whose shape is precede: verumtamen non est subtilior ea parum, sicut uides: et oportet ut sit chisel in ea superfluae grossitudinis parum.
Deinde cura loca, cum eo quod praecessit: donec sanetur.	Then care for the place with what preceded it: until it is healed.
