Praefatio.	A preface.
Verumtamen necesse est tibi, ut caueas a continuatione mandibulae, quae mouetur apud masticationem, ne aduratur latus, aut neruus qui mouet ipsam, unde accidat spasmus.	However, it is necessary for you to beware of the lower jawbone continuing to move during mastication, lest the side or the muscle that moves it be burnt, and thus a spasm occurs.
Et esto super custotiam, et cautelam de fluxu sanguinis arteriae, quae abscisa est.	And this is also on the precaution and care of bleeding from the artery which has been cut.
In abscisione enim eius est timor, et praecipue ei qui ignorat illud quod facit, et non est studiosus, nec expertus: et dimittit operationem cum eo in primis.	For there is fear of it when the artery is cut, and especially from him who knows not what he does, and is not diligent or skilled; and he abandons the operation with him first.
Et ego ueniam cum rememoratione regiminis fluxus sanguinis accidentis ex arteria secundum modum suum, et in loco suo huius libri.	And I will repay with memory of the regime for bleeding from an artery that occurs according to its own rules, and in place of this book.
Quod si uides ex aegritudine, quod non sufficit ei hoc Cauterium, et uides corpus infirmi tolerans cauterium in medio capitis, sicut narrauimus, cura uulnus, donec sanetur.	If you see from his illness that this cautery does not suffice for him, and if you see the feeble body bearing the cautery on the middle of the head, as we have narrated, treat the wound until it is healed.
Et si uis, administra Cauterium, quod diximus in capitulo extractionis arteriae cum Cauterio habente duos cultellos.	And if you wish to administer the cautery, which we mentioned in the chapter on extraction of an artery with a cautery having two forceps.
Est enim cauterizatio melior hac et magis conferens.	For this cautery is better and more effective than the other one.
¶ De modo cauterizandi in dolore Aurium.	About the manner of cauterizing the gold.
Caput VI.	Chapter VI.
Quando accidit in Aure dolor a frigore, et curatur cum solutiuis, et reliqua curatione quam diximus in diuisione, et non remouetur dolor, tunc igni Cauterium: et est illud quod nominatur Punctum, cuius forma est haec.	When it occurs that the pain from gold is caused by cold, and it is treated with solvents, and the rest of the treatment which we mentioned in the division, and the pain does not move, then apply the cautery fire: and this is what is called a Punctum, whose shape is like this.
Deinde puncta cum eo post eius ignitionem in circumitu auris totius, sicut reuoluitur: aut in circumitu utriusque, si simul dolor est in utrisque.	Then apply the points around the ear of the entire head, as it has been rolled up, or around both ears if pain is present in both.
Et elonga te cum Cauterio a radice auris parumper, postquam signaueris loca cum encaustro: et sit cauterii quantitas decem punctorum in omni aure, et quasi illa.	And lengthen it with Cautery from the ear's root for a little while, after you have marked the area with wax: and let there be as much cauterium as ten punctures in all the ear, and thus.
Deinde cura loca, donec sanentur.	Then treat the wound, until they heal.
¶ De modo cauterizandi in Tortura.	On the manner of cauterizing with Torment.
Caput VII.	Chapter VII.
Tortura quae curatur cum cauterizatione, non est nisi ex speciebus, quae accidunt ex phlegmate, secundum quod diximus in diuisionibus aegritudinum.	The torture that is cured with cauterization is of but one kind, which occurs from phlegmatic humors, as we have said in the divisions of diseases.
Et deuita cauterizationem speciei, quae accidit ex exiccatione, et spasmo nerui.	And subtract from the cauterization species that occurs from burning and spasm of a nerve.
Quando curas hanc speciem torturae cum hyeris, et caputpurgiis, et gargarismis, et non confert curatio tua, tunc oportet ut cauterizes infirmum tribus Cauteriis: uno apud radicem auris, et secundo parum inferius a timpore suo, et tertio apud coniunctionem duorum labiorum.	When you cure this species of torture with hyris, and caputpurgis, and gargarisms, and your care does not benefit, then it is necessary to cauterize the infirm person three times: one at the ear's root, and the second little lower than its proper time, and the third at the conjunction of the two lips.
Et pone Cauterium tuum ex contrario partis infirmae.	And put your cauterium on the opposite side of the infirm part.
Quoniam mollificatio non accidit, nisi in parte quae apparet sana.	Because softening does not occur unless in the part that appears to be healthy.
Et forma cauterizationis est, ut cauterizes ipsum Cauterio in directo extremitatis auris superioris sub cornu capitis parum: et alio in timpore: cuius longitudo sit secundum longitudinem pollicis.	And the form of cauterization is such that you should cauterize the same cauterium directly on the extremity of the upper ear above the brow a little, and at another time; whose length be according to the length of a finger.
Et depone manum tuam cum cauterio, donec comburatur quantitas medietatis spissitudinis cutis.	And put your hand with the cauterium until the quantity of half of the thickness of the skin is burnt.
Et haec est forma Cauterii, et est species ex cultellari, cuius forma praemissa est: uerumtamen non est subtilior ea parum, sicut uides: et oportet ut sit cultellus in eo superfluae grossitudinis parum.	And this is the form of cauterium, and it is a species from a knife, whose shape is as follows; however, it should not be more subtle than a little, as you see: and it must be a knife of slightly excessive thickness.
Deinde cura loca, cum eo quod praecessit: donec sanetur.	Then care for the wounds, because it precedes: until they are healed.
¶ De modo cauterizandi in Apoplexia antiqua.	On the method of cauterizing in old apoplexy.
Caput VIII.	Head VIII.
QUando antiquatur Apoplexia, et curas eam cum eo quod diximus, et non confert medicatio tua, et infirmus non habet febrem, tunc cauteriza eum quatuor cauteriis super omne cornu capitis sui, et cauterio in medio capitis, sicut diximus, et cauterio in occipitio capitis, secundum quod praecessit: et modus cauterii sit secundum quod praecessit.	When apoplexy is renewed, and with the care we have discussed, but not because of your medication, since the sick person does not have fever, then cauterize him with four cauterizations on top of his entire head, and a cauterization in the middle of his head, as we have said, and another on the back of his head, according to what preceded: and let the method of cauterization be according to what preceded.
Etiam cauterizatur cum Cauterio super os stomachi: et est magis ultimum.	And with a cauterization on top of the os stomachi (stomach): and this is more final.
Deinde curetur, cum eo quod praecessit.	Then let them be cured, as we have said before.
¶ De modo cauterizandi in Obliuione.	On the method of cauterizing in obliquity.
Caput IX.	Head IX.
Oportet ut in potu dentur in primis infirmo hyerae magnae, et pillulae mundificantes cerebrum.	It should be that the sick person drinks first a warm drink of large quantity, and a medicinal pill to clean the brain.
